feature,horizon_ms,blocks,positive_blocks,positive_share,min_block,max_block,N,mean_signed_bps,avg_hit_rate,period,q
depthL1_extOFI,2000,14,14,1.0,0.11937717693241685,0.47593037564650786,29682,0.32458483770257673,0.4262179098443501,ALL24,0.8
depthL1_extOFI,5000,14,14,1.0,0.2291427360946906,0.6386694636862378,16756,0.4465357294936285,0.5337192647409883,ALL24,0.8
depthL1_extOFI,10000,14,14,1.0,0.344484077137161,0.7294774875492988,10459,0.5113657374771666,0.5758676737737833,ALL24,0.8
depthL1_extOFI,30000,14,14,1.0,0.24588182335815192,0.7629665492964554,4516,0.5290371833258886,0.5810451727192205,ALL24,0.8
gap_depthBoth,1000,14,14,1.0,0.060954864358767805,0.3650903197133204,31376,0.19490927015705176,0.2325344212136665,ALL24,0.8
gap_depthBoth,2000,14,14,1.0,0.10772370504471289,0.4727646358444067,19133,0.2915670524896537,0.3463126535305493,ALL24,0.8
gap_depthBoth,5000,14,14,1.0,0.22606021145151817,0.621149086886075,10770,0.4255317929288129,0.4827298050139276,ALL24,0.8
gap_depthBoth,10000,14,14,1.0,0.31932086470224813,0.8054203256881695,7123,0.5356376693548688,0.5525761617296083,ALL24,0.8
gap_depthBoth,30000,14,14,1.0,0.2526485370133348,0.6983198594728198,3501,0.5126589382471508,0.5712653527563554,ALL24,0.8
gap_depthL1,1000,14,14,1.0,0.05975229986155353,0.34398464493699055,33184,0.18888901469506506,0.22993008678881388,ALL24,0.8
gap_depthL1,2000,14,14,1.0,0.10238129036129309,0.4449978876024891,20102,0.2828639238443175,0.3416575465127848,ALL24,0.8
gap_depthL1,5000,14,14,1.0,0.21756257746210286,0.581884020889194,11182,0.40838262971111405,0.47934179932033627,ALL24,0.8
gap_depthL1,10000,14,14,1.0,0.3174194103750853,0.8102656447849329,7337,0.5338599882753869,0.5480441597383127,ALL24,0.8
gap_depthL1,30000,14,14,1.0,0.12595995388798972,0.92514944257694,3554,0.4965178750241554,0.5694991558806978,ALL24,0.8
gap_depth_extOFI,1000,14,14,1.0,0.06269703068005056,0.4084889981978064,29164,0.21235736329468743,0.23871896859141406,ALL24,0.8
gap_depth_extOFI,2000,14,14,1.0,0.1129050700339263,0.4863161259934534,18357,0.3065317739689966,0.3503840496813205,ALL24,0.8
gap_depth_extOFI,5000,14,14,1.0,0.2243862242768488,0.60191503053635,10507,0.44530391199770747,0.4878652327020082,ALL24,0.8
gap_depth_extOFI,10000,14,14,1.0,0.3426303283806513,0.8449835970484286,6992,0.5746478095754908,0.558066361556064,ALL24,0.8
gap_depth_extOFI,30000,14,14,1.0,0.35056007390539795,0.6544179883184076,3475,0.5216769490163365,0.5732374100719424,ALL24,0.8
gap_extOFI,1000,14,14,1.0,0.0531874224360914,0.32508769254988906,35293,0.17934035712150634,0.20972997478253477,ALL24,0.8
gap_extOFI,2000,14,14,1.0,0.09453238460398292,0.39897821590362365,21768,0.2577819233626254,0.3135795663359059,ALL24,0.8
gap_extOFI,5000,14,14,1.0,0.17361141027429813,0.5037845010736395,12003,0.3735571481977098,0.4463050903940681,ALL24,0.8
gap_extOFI,10000,14,14,1.0,0.30233839768041454,0.7538951293554107,7767,0.4734362417014484,0.5187331015836231,ALL24,0.8
gap_extOFI,30000,14,14,1.0,0.17507422432198755,0.7504601153792991,3698,0.4614009506944503,0.5524607896160086,ALL24,0.8
gap_leader1000,1000,14,14,1.0,0.16754717497456392,0.38786827020311543,18683,0.2541358632814134,0.31793609163410586,ALL24,0.8
gap_leader1000,2000,14,14,1.0,0.18180177518558707,0.4201060317019497,15399,0.28415733127382753,0.385025001623482,ALL24,0.8
gap_leader1000,5000,14,14,1.0,0.2190939237780211,0.5750409894236723,10826,0.34694648834515435,0.4685941252540181,ALL24,0.8
gap_leader1000,10000,14,14,1.0,0.15561874839103534,0.7148636848155894,7567,0.3915901425903961,0.5164530196907625,ALL24,0.8
gap_leader1000,30000,14,14,1.0,0.05569355465177985,0.7258117013969312,3694,0.41041540026490686,0.5489983757444504,ALL24,0.8
gap_localOFI,1000,14,14,1.0,0.0540457587639369,0.32253171356730886,28772,0.1819551683713832,0.226470179341026,ALL24,0.8
gap_localOFI,2000,14,14,1.0,0.07944734867915124,0.36760235727910917,19455,0.24919035765869169,0.3192495502441532,ALL24,0.8
gap_localOFI,5000,14,14,1.0,0.14707229521682544,0.5262277025265927,11482,0.34136656012923206,0.4426929106427452,ALL24,0.8
gap_localOFI,10000,14,14,1.0,0.22780970349141128,0.7281682618322638,7553,0.4513323666284292,0.513703164305574,ALL24,0.8
gap_localOFI,30000,14,14,1.0,0.16524807025678556,1.0202517139109086,3634,0.4652796907761058,0.5470555861309851,ALL24,0.8
gap_localTrade,1000,14,14,1.0,0.15304923015898614,0.6310981429679986,11632,0.3817843383566498,0.34620013755158185,ALL24,0.8
gap_localTrade,2000,14,14,1.0,0.1893250471184641,0.6581312050157924,9635,0.4483994642452476,0.4240788790866632,ALL24,0.8
gap_localTrade,5000,14,14,1.0,0.27472149278790803,0.7924315675579355,7042,0.561236462770085,0.5124964498721954,ALL24,0.8
gap_localTrade,10000,14,14,1.0,0.3688781063276673,0.9913592756342314,5264,0.6609215669041609,0.5680091185410334,ALL24,0.8
