period,state,horizon_ms,blocks,positive_blocks,positive_share,N,mean_signed_bps,min_block,max_block,hit_rate
WEEKEND12,high,5000,6,6,1.0,1757,0.48498642777818796,0.34072532594866184,0.658157295859989,0.4479225953329539
WEEKEND12,high,10000,6,6,1.0,1358,0.6153900362735026,0.4701192771786291,0.7600045491955494,0.5309278350515464
WEEKEND12,high,30000,6,6,1.0,889,0.7227071395979088,0.5818716741176984,1.0865125840338736,0.592800899887514
WEEKEND12,low,5000,6,6,1.0,1033,0.2612583451348226,0.07887364830408099,0.6486084763213686,0.33688286544046464
WEEKEND12,low,10000,6,6,1.0,793,0.346293398131185,0.09190036555606548,0.6762666558827392,0.44640605296343
WEEKEND12,low,30000,6,5,0.8333333333333334,575,0.22833049965635818,-0.15202797264231113,0.5898442260452804,0.5147826086956522
WEEKEND12,mid,5000,6,6,1.0,1303,0.21591675502688276,0.10649530123989408,0.2786102353852745,0.3607060629316961
WEEKEND12,mid,10000,6,6,1.0,993,0.267918045510727,0.11200864208574943,0.44312700845587355,0.45317220543806647
WEEKEND12,mid,30000,6,5,0.8333333333333334,681,0.27310663839507,-0.05078550578955224,0.5212153512124805,0.5256975036710719
WEEKDAY12,high,5000,8,8,1.0,3276,0.6100880106606827,0.4120684618521308,0.9306762015294687,0.5726495726495726
WEEKDAY12,high,10000,8,8,1.0,2523,0.6720405180335702,0.3615447453297444,1.0142367953286173,0.5933412604042806
WEEKDAY12,high,30000,8,8,1.0,1461,0.629479479209599,0.11386218562343517,1.6477752474386222,0.5742642026009582
WEEKDAY12,low,5000,8,8,1.0,2067,0.3615703906680301,0.23885661702977146,0.4931597113420198,0.4987905176584422
WEEKDAY12,low,10000,8,8,1.0,1684,0.483996658807556,0.21164232440915035,0.5895762974834028,0.5486935866983373
WEEKDAY12,low,30000,8,8,1.0,1100,0.7226309427450571,0.4400589407718554,0.9656773720106266,0.5627272727272727
WEEKDAY12,mid,5000,8,8,1.0,2432,0.38573362077963036,0.21547369944701855,0.5650414430441711,0.5205592105263158
WEEKDAY12,mid,10000,8,8,1.0,1956,0.4937184704315069,0.3362650548865817,0.7208780792367995,0.5531697341513292
WEEKDAY12,mid,30000,8,8,1.0,1232,0.5384978529788972,0.06953944463524292,1.153296844650925,0.5714285714285714
ALL24,high,5000,14,14,1.0,5033,0.566415552658588,0.34072532594866184,0.9306762015294687,0.5291078879395986
ALL24,high,10000,14,14,1.0,3881,0.652217958324688,0.3615447453297444,1.0142367953286173,0.571502190157176
ALL24,high,30000,14,14,1.0,2350,0.6647473047777726,0.11386218562343517,1.6477752474386222,0.5812765957446808
ALL24,low,5000,14,14,1.0,3100,0.3281438283984161,0.07887364830408099,0.6486084763213686,0.44483870967741934
ALL24,low,10000,14,14,1.0,2477,0.4399116019983666,0.09190036555606548,0.6762666558827392,0.5159467097295115
ALL24,low,30000,14,13,0.9285714285714286,1675,0.5529457160131157,-0.15202797264231113,0.9656773720106266,0.5462686567164179
ALL24,mid,5000,14,14,1.0,3735,0.3264909498088593,0.10649530123989408,0.5650414430441711,0.46479250334672023
ALL24,mid,10000,14,14,1.0,2949,0.41768597740121377,0.11200864208574943,0.7208780792367995,0.5194981349610037
ALL24,mid,30000,14,13,0.9285714285714286,1913,0.44402246503766013,-0.05078550578955224,1.153296844650925,0.5551489806586514
