feature,horizon_ms,blocks,positive_blocks,positive_share,min_block,max_block,N,mean_signed_bps,avg_hit_rate,period,q
bitget_ofi,100,6,6,1.0,0.012760544513006756,0.05401041332150037,27442,0.028112583340360008,0.0458421397857299,WEEKEND12,0.8
bitget_ofi,200,6,6,1.0,0.01720423480005835,0.07228882437417784,27442,0.03590258558659583,0.06242256395306465,WEEKEND12,0.8
bitget_ofi,500,6,6,1.0,0.022173659108775105,0.09774354573178093,27441,0.049406866384707565,0.09219780620239787,WEEKEND12,0.8
bitget_ofi,1000,6,6,1.0,0.026885541358660878,0.11929060626557608,27440,0.058900510218299874,0.1278061224489796,WEEKEND12,0.8
bitget_ofi,2000,6,6,1.0,0.035251737583258405,0.16611183998886517,19697,0.08296817952199502,0.17449357770218815,WEEKEND12,0.8
bitget_ofi,5000,6,6,1.0,0.060787873143391666,0.20484143451449136,11186,0.1239082359153859,0.2677453960307527,WEEKEND12,0.8
bitget_ofi,10000,6,6,1.0,0.070470384940449,0.27500553989381543,6683,0.14492046574596468,0.33158761035463113,WEEKEND12,0.8
bitget_ofi,30000,6,6,1.0,0.02963710553268789,0.4859132011683494,2603,0.1496724313115539,0.422205147906262,WEEKEND12,0.8
bitget_trade_flow,100,6,6,1.0,0.015380528925192736,0.045848492802838176,27171,0.02792427557922276,0.040300320194324835,WEEKEND12,0.8
bitget_trade_flow,200,6,6,1.0,0.019014708748271627,0.05490771153254748,27171,0.03335701520416005,0.05285046556990909,WEEKEND12,0.8
bitget_trade_flow,500,6,6,1.0,0.02710719775686953,0.07679570339823599,27171,0.04435211060639724,0.07820838393875823,WEEKEND12,0.8
bitget_trade_flow,1000,6,6,1.0,0.03263981805608347,0.09051978606685877,27170,0.05369013453512984,0.11067353698932646,WEEKEND12,0.8
bitget_trade_flow,2000,6,6,1.0,0.04239587400434523,0.12189358632155838,20223,0.060616451921076245,0.151065618355338,WEEKEND12,0.8
bitget_trade_flow,5000,6,6,1.0,0.04811233314903361,0.10655049551656026,11678,0.0794776079185175,0.22906319575269737,WEEKEND12,0.8
bitget_trade_flow,10000,6,6,1.0,0.03973670450111203,0.2440418718817243,6878,0.09810703032830179,0.29906949694678686,WEEKEND12,0.8
bitget_trade_flow,30000,6,6,1.0,0.01844948669384481,0.3479185304655341,2651,0.16975063501103824,0.4288947566955866,WEEKEND12,0.8
depth_imbalance_l1,100,6,6,1.0,0.02093843124587337,0.07045834318400622,21373,0.03639093248621459,0.06349132082534038,WEEKEND12,0.8
depth_imbalance_l1,200,6,6,1.0,0.024958900942650606,0.09651984931001092,21373,0.050217672262568694,0.08524774247882842,WEEKEND12,0.8
depth_imbalance_l1,500,6,6,1.0,0.044566829194265196,0.15143168910520735,21373,0.08344421837375263,0.1327843540916109,WEEKEND12,0.8
depth_imbalance_l1,1000,6,6,1.0,0.06747717830542888,0.2118312625047283,21372,0.1241744235918747,0.1947875725247988,WEEKEND12,0.8
depth_imbalance_l1,2000,6,6,1.0,0.11616103877004061,0.31214982912063755,12830,0.20289719752686636,0.29976617303195635,WEEKEND12,0.8
depth_imbalance_l1,5000,6,6,1.0,0.2211560822920907,0.4582544770532694,6977,0.33239337881337977,0.45649992833596104,WEEKEND12,0.8
depth_imbalance_l1,10000,6,6,1.0,0.3275515447658093,0.5177450506715242,4423,0.41134965904170295,0.5362875876102193,WEEKEND12,0.8
depth_imbalance_l1,30000,6,6,1.0,0.2652558645903222,0.6774672577812297,2046,0.4406551982450611,0.5884652981427175,WEEKEND12,0.8
depth_imbalance_l5,100,6,6,1.0,0.018849954942946306,0.06174426400056259,22059,0.030260647329659652,0.05104492497393354,WEEKEND12,0.8
depth_imbalance_l5,200,6,6,1.0,0.02291897349456338,0.08325120487983409,22059,0.042590474009067236,0.0714900947459087,WEEKEND12,0.8
depth_imbalance_l5,500,6,6,1.0,0.04259129211289379,0.13213027601882876,22059,0.07287483423264278,0.11718572918083323,WEEKEND12,0.8
depth_imbalance_l5,1000,6,6,1.0,0.0645233406055777,0.19558095408029308,22058,0.10980917442577341,0.17458518451355517,WEEKEND12,0.8
depth_imbalance_l5,2000,6,6,1.0,0.11436786412073133,0.27446061782645204,13322,0.1780418116086821,0.27270680078066356,WEEKEND12,0.8
depth_imbalance_l5,5000,6,6,1.0,0.22212129741178738,0.3719924966604651,7166,0.28072479137090167,0.4186435947530003,WEEKEND12,0.8
depth_imbalance_l5,10000,6,6,1.0,0.3150778604895681,0.4636456920176168,4559,0.36785666707947645,0.5073481026540908,WEEKEND12,0.8
depth_imbalance_l5,30000,6,6,1.0,0.2919126821328474,0.7372652572823666,2052,0.48267710579222817,0.5867446393762183,WEEKEND12,0.8
external_ofi,100,6,6,1.0,0.009961243374142325,0.038057411453261955,49304,0.01829914249102663,0.02932824922927146,WEEKEND12,0.8
external_ofi,200,6,6,1.0,0.011489561289440139,0.056130368793134905,49303,0.024703102562103185,0.04109283410745796,WEEKEND12,0.8
external_ofi,500,6,6,1.0,0.015689345423705942,0.07791645081901791,49303,0.035623286629730654,0.06618258523822079,WEEKEND12,0.8
external_ofi,1000,6,6,1.0,0.01894422381689677,0.09559196654427805,49300,0.044725379321838975,0.09699797160243408,WEEKEND12,0.8
external_ofi,2000,6,6,1.0,0.02190655231092586,0.11594798266376617,30599,0.054448000618210264,0.13925291676198567,WEEKEND12,0.8
external_ofi,5000,6,6,1.0,0.04126839538134177,0.14962646257509807,14686,0.07826559125603283,0.22388669481138498,WEEKEND12,0.8
external_ofi,10000,6,6,1.0,0.03669991887754992,0.27292214067609283,7918,0.10988960235779106,0.3018438999747411,WEEKEND12,0.8
external_ofi,30000,6,6,1.0,0.02371424021802502,0.4947913124931042,2790,0.14349393070674352,0.4103942652329749,WEEKEND12,0.8
external_trade_flow,100,6,6,1.0,0.002647746364821397,0.008733066721303381,69954,0.0047464668105977525,0.011035823541184207,WEEKEND12,0.8
external_trade_flow,200,6,6,1.0,0.0037335987559082187,0.013096709007328785,69954,0.006758406055622963,0.018154787431740857,WEEKEND12,0.8
external_trade_flow,500,6,6,1.0,0.0033131358494796447,0.020202679554284626,69952,0.009426757783022982,0.03671088746569076,WEEKEND12,0.8
external_trade_flow,1000,6,6,1.0,0.004342390078214486,0.02990984418184295,69950,0.01370776506876479,0.0634024303073624,WEEKEND12,0.8
external_trade_flow,2000,6,6,1.0,0.005749465817459756,0.04213818041064844,38645,0.018821974367591147,0.1039203001681977,WEEKEND12,0.8
external_trade_flow,5000,6,6,1.0,0.021830178677534694,0.04824812809624848,16474,0.03371476997071581,0.18926793735583344,WEEKEND12,0.8
external_trade_flow,10000,6,6,1.0,0.003928140038185378,0.13205457924509642,8436,0.038582891802509796,0.2676623992413466,WEEKEND12,0.8
external_trade_flow,30000,6,3,0.5,-0.11266011965178167,0.14652213598802769,2853,0.010928747623378482,0.40168243953732913,WEEKEND12,0.8
fair_accel_100ms,100,6,6,1.0,0.02755642729702061,0.047667798488373526,28391,0.03528297490692318,0.04755028001831566,WEEKEND12,0.8
