session,period,asset,feature,horizon_ms,q,threshold,N,mean_signed_bps,hit_rate
20260905T073818Z_e44d99bd,WE,BTC,gap_depthBoth,1000,0.95,0.5454764002248423,1055,0.12278653641492332,0.13364928909952606
20260905T073818Z_e44d99bd,WE,BTC,gap_depthBoth,2000,0.95,0.5454764002248423,613,0.21016944942721105,0.22838499184339314
20260905T073818Z_e44d99bd,WE,BTC,gap_depthBoth,5000,0.95,0.5454764002248423,337,0.36993496075636206,0.3916913946587537
20260905T073818Z_e44d99bd,WE,BTC,gap_depthBoth,10000,0.95,0.5454764002248423,239,0.5865009609594569,0.5146443514644351
20260905T073818Z_e44d99bd,WE,BTC,gap_depthBoth,30000,0.95,0.5454764002248423,162,0.6905363659699459,0.6358024691358025
20260905T073818Z_e44d99bd,WE,BTC,gap_depthL1,1000,0.8,0.33075622686684625,3637,0.05975229986155353,0.08358537255980203
20260905T073818Z_e44d99bd,WE,BTC,gap_depthL1,2000,0.8,0.33075622686684625,1981,0.10238129036129309,0.14487632508833923
20260905T073818Z_e44d99bd,WE,BTC,gap_depthL1,5000,0.8,0.33075622686684625,943,0.21756257746210286,0.27783669141039236
20260905T073818Z_e44d99bd,WE,BTC,gap_depthL1,10000,0.8,0.33075622686684625,573,0.34278649062700617,0.39790575916230364
20260905T073818Z_e44d99bd,WE,BTC,gap_depthL1,30000,0.8,0.33075622686684625,283,0.5563519765138164,0.558303886925795
20260905T073818Z_e44d99bd,WE,BTC,gap_depthL1,1000,0.9,0.44852834352759896,2001,0.0849010705479687,0.10344827586206896
20260905T073818Z_e44d99bd,WE,BTC,gap_depthL1,2000,0.9,0.44852834352759896,1125,0.15022581162323892,0.18133333333333335
20260905T073818Z_e44d99bd,WE,BTC,gap_depthL1,5000,0.9,0.44852834352759896,575,0.28489662843710983,0.3234782608695652
20260905T073818Z_e44d99bd,WE,BTC,gap_depthL1,10000,0.9,0.44852834352759896,377,0.44407784856706145,0.44297082228116713
20260905T073818Z_e44d99bd,WE,BTC,gap_depthL1,30000,0.9,0.44852834352759896,217,0.6369216144122974,0.6036866359447005
20260905T073818Z_e44d99bd,WE,BTC,gap_depthL1,1000,0.95,0.5454764002248423,1072,0.12541237090669471,0.13432835820895522
20260905T073818Z_e44d99bd,WE,BTC,gap_depthL1,2000,0.95,0.5454764002248423,624,0.2085851683200223,0.22756410256410256
20260905T073818Z_e44d99bd,WE,BTC,gap_depthL1,5000,0.95,0.5454764002248423,343,0.36018485023045743,0.39067055393586003
20260905T073818Z_e44d99bd,WE,BTC,gap_depthL1,10000,0.95,0.5454764002248423,244,0.5686899329583728,0.5122950819672131
20260905T073818Z_e44d99bd,WE,BTC,gap_depthL1,30000,0.95,0.5454764002248423,164,0.6527540141438827,0.6280487804878049
20260905T073818Z_e44d99bd,WE,BTC,gap_depth_extOFI,1000,0.8,0.33075622686684625,3266,0.06269703068005056,0.0872627066748316
20260905T073818Z_e44d99bd,WE,BTC,gap_depth_extOFI,2000,0.8,0.33075622686684625,1855,0.1129050700339263,0.15417789757412398
20260905T073818Z_e44d99bd,WE,BTC,gap_depth_extOFI,5000,0.8,0.33075622686684625,915,0.2243862242768488,0.2797814207650273
20260905T073818Z_e44d99bd,WE,BTC,gap_depth_extOFI,10000,0.8,0.33075622686684625,567,0.36750574124315205,0.4056437389770723
20260905T073818Z_e44d99bd,WE,BTC,gap_depth_extOFI,30000,0.8,0.33075622686684625,281,0.6225367965531607,0.5765124555160143
20260905T073818Z_e44d99bd,WE,BTC,gap_depth_extOFI,1000,0.9,0.44852834352759896,1795,0.08974132686287783,0.10863509749303621
20260905T073818Z_e44d99bd,WE,BTC,gap_depth_extOFI,2000,0.9,0.44852834352759896,1055,0.16221785236182443,0.19146919431279621
20260905T073818Z_e44d99bd,WE,BTC,gap_depth_extOFI,5000,0.9,0.44852834352759896,556,0.29982332157488417,0.3273381294964029
20260905T073818Z_e44d99bd,WE,BTC,gap_depth_extOFI,10000,0.9,0.44852834352759896,369,0.46742442170793236,0.45257452574525747
20260905T073818Z_e44d99bd,WE,BTC,gap_depth_extOFI,30000,0.9,0.44852834352759896,213,0.7215592052948635,0.6338028169014085
20260905T073818Z_e44d99bd,WE,BTC,gap_depth_extOFI,1000,0.95,0.5454764002248423,956,0.13230206468816244,0.1412133891213389
20260905T073818Z_e44d99bd,WE,BTC,gap_depth_extOFI,2000,0.95,0.5454764002248423,574,0.22154627328237145,0.23867595818815332
20260905T073818Z_e44d99bd,WE,BTC,gap_depth_extOFI,5000,0.95,0.5454764002248423,326,0.38347281959051155,0.4049079754601227
20260905T073818Z_e44d99bd,WE,BTC,gap_depth_extOFI,10000,0.95,0.5454764002248423,233,0.5866504401663608,0.5278969957081545
20260905T073818Z_e44d99bd,WE,BTC,gap_depth_extOFI,30000,0.95,0.5454764002248423,161,0.7336408910465169,0.6459627329192547
20260905T073818Z_e44d99bd,WE,BTC,gap_extOFI,1000,0.8,0.33075622686684625,3977,0.0531874224360914,0.0741765149610259
20260905T073818Z_e44d99bd,WE,BTC,gap_extOFI,2000,0.8,0.33075622686684625,2243,0.09453238460398292,0.13374944271065536
20260905T073818Z_e44d99bd,WE,BTC,gap_extOFI,5000,0.8,0.33075622686684625,1083,0.17361141027429813,0.24469067405355494
20260905T073818Z_e44d99bd,WE,BTC,gap_extOFI,10000,0.8,0.33075622686684625,663,0.30233839768041454,0.3514328808446455
20260905T073818Z_e44d99bd,WE,BTC,gap_extOFI,30000,0.8,0.33075622686684625,318,0.5043197548592889,0.5157232704402516
20260905T073818Z_e44d99bd,WE,BTC,gap_extOFI,1000,0.9,0.44852834352759896,2065,0.08821226652526395,0.10024213075060533
20260905T073818Z_e44d99bd,WE,BTC,gap_extOFI,2000,0.9,0.44852834352759896,1207,0.15296521366489493,0.1748135874067937
20260905T073818Z_e44d99bd,WE,BTC,gap_extOFI,5000,0.9,0.44852834352759896,634,0.27739720490978514,0.30441640378548895
20260905T073818Z_e44d99bd,WE,BTC,gap_extOFI,10000,0.9,0.44852834352759896,416,0.4207046004445225,0.41586538461538464
20260905T073818Z_e44d99bd,WE,BTC,gap_extOFI,30000,0.9,0.44852834352759896,231,0.5948328888679323,0.5887445887445888
20260905T073818Z_e44d99bd,WE,BTC,gap_extOFI,1000,0.95,0.5454764002248423,1073,0.13635720304605678,0.13513513513513514
20260905T073818Z_e44d99bd,WE,BTC,gap_extOFI,2000,0.95,0.5454764002248423,639,0.22778396236692214,0.2269170579029734
