session,period,asset,feature,horizon_ms,q,threshold,N,mean_signed_bps,median_signed_bps,hit_rate,mean_abs_move
20260905T073818Z_e44d99bd,WE,BTC,bitget_ofi,30000,0.95,0.20920357274721257,524,0.23154230959565536,0.0,0.3931297709923664,0.8491489703817767
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,100,0.8,1.0,6422,0.02072235978213696,0.0,0.02600436001245718,0.022399828078796615
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,200,0.8,1.0,6422,0.023896085605153723,0.0,0.03192151977577079,0.029363049575854176
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,500,0.8,1.0,6422,0.027914951723896547,0.0,0.041887262535035816,0.04148103953803476
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,1000,0.8,1.0,6422,0.03263981805608347,0.0,0.05792587978822797,0.05990051952305026
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,2000,0.8,1.0,4910,0.04239587400434523,0.0,0.0835030549898167,0.0924514504653838
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,5000,0.8,1.0,2879,0.04811233314903361,0.0,0.13094824591872178,0.18340948679268387
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,10000,0.8,1.0,1711,0.050057171328597966,0.0,0.18468731735827001,0.3102686079728501
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,30000,0.8,1.0,664,0.15581154404959383,0.0,0.3433734939759036,0.7179944235533114
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,100,0.9,1.0,6422,0.02072235978213696,0.0,0.02600436001245718,0.022399828078796615
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,200,0.9,1.0,6422,0.023896085605153723,0.0,0.03192151977577079,0.029363049575854176
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,500,0.9,1.0,6422,0.027914951723896547,0.0,0.041887262535035816,0.04148103953803476
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,1000,0.9,1.0,6422,0.03263981805608347,0.0,0.05792587978822797,0.05990051952305026
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,2000,0.9,1.0,4910,0.04239587400434523,0.0,0.0835030549898167,0.0924514504653838
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,5000,0.9,1.0,2879,0.04811233314903361,0.0,0.13094824591872178,0.18340948679268387
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,10000,0.9,1.0,1711,0.050057171328597966,0.0,0.18468731735827001,0.3102686079728501
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,30000,0.9,1.0,664,0.15581154404959383,0.0,0.3433734939759036,0.7179944235533114
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,100,0.95,1.0,6422,0.02072235978213696,0.0,0.02600436001245718,0.022399828078796615
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,200,0.95,1.0,6422,0.023896085605153723,0.0,0.03192151977577079,0.029363049575854176
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,500,0.95,1.0,6422,0.027914951723896547,0.0,0.041887262535035816,0.04148103953803476
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,1000,0.95,1.0,6422,0.03263981805608347,0.0,0.05792587978822797,0.05990051952305026
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,2000,0.95,1.0,4910,0.04239587400434523,0.0,0.0835030549898167,0.0924514504653838
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,5000,0.95,1.0,2879,0.04811233314903361,0.0,0.13094824591872178,0.18340948679268387
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,10000,0.95,1.0,1711,0.050057171328597966,0.0,0.18468731735827001,0.3102686079728501
20260905T073818Z_e44d99bd,WE,BTC,bitget_trade_flow,30000,0.95,1.0,664,0.15581154404959383,0.0,0.3433734939759036,0.7179944235533114
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,100,0.8,0.7720943112588021,4888,0.02093843124587337,0.0,0.03375613747954174,0.022321031657718527
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,200,0.8,0.7720943112588021,4888,0.024958900942650606,0.0,0.04378068739770868,0.030548940205675328
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,500,0.8,0.7720943112588021,4888,0.044566829194265196,0.0,0.07262684124386252,0.05302335549647332
20260905T073818Z_e44d99bd,WE,BTC,depth_imbalance_l1,1000,0.8,0.7720943112588021,4888,0.06747717830542888,0.0,0.1147708674304419,0.08283403673857709
