session,period,asset,state,horizon_ms,N,mean_signed_bps,hit_rate,threshold,disp_lo,disp_hi
20260907T124300Z_6ac966eb,WD,BTC,low,10000,176,0.5895762974834028,0.5511363636363636,0.5688809801323025,0.32585118313145095,0.5729359404842389
20260907T124300Z_6ac966eb,WD,BTC,low,30000,126,0.7975828381542787,0.5873015873015873,0.5688809801323025,0.32585118313145095,0.5729359404842389
20260907T124300Z_6ac966eb,WD,BTC,mid,5000,264,0.4266837311656163,0.4962121212121212,0.5688809801323025,0.32585118313145095,0.5729359404842389
20260907T124300Z_6ac966eb,WD,BTC,mid,10000,212,0.4399664074814631,0.5707547169811321,0.5688809801323025,0.32585118313145095,0.5729359404842389
20260907T124300Z_6ac966eb,WD,BTC,mid,30000,144,0.30198380212425247,0.5416666666666666,0.5688809801323025,0.32585118313145095,0.5729359404842389
20260907T124300Z_6ac966eb,WD,BTC,high,5000,391,0.4457617521584705,0.5421994884910486,0.5688809801323025,0.32585118313145095,0.5729359404842389
20260907T124300Z_6ac966eb,WD,BTC,high,10000,296,0.4781391734210061,0.5540540540540541,0.5688809801323025,0.32585118313145095,0.5729359404842389
20260907T124300Z_6ac966eb,WD,BTC,high,30000,178,0.6329886972171656,0.601123595505618,0.5688809801323025,0.32585118313145095,0.5729359404842389
20260907T124300Z_6ac966eb,WD,ETH,low,5000,388,0.321820982824627,0.5283505154639175,0.6598752779884975,0.35778427238652555,0.6141988124659518
20260907T124300Z_6ac966eb,WD,ETH,low,10000,317,0.5294205915634941,0.5457413249211357,0.6598752779884975,0.35778427238652555,0.6141988124659518
20260907T124300Z_6ac966eb,WD,ETH,low,30000,189,0.6485308188782684,0.5608465608465608,0.6598752779884975,0.35778427238652555,0.6141988124659518
20260907T124300Z_6ac966eb,WD,ETH,mid,5000,476,0.21547369944701855,0.5,0.6598752779884975,0.35778427238652555,0.6141988124659518
20260907T124300Z_6ac966eb,WD,ETH,mid,10000,378,0.4418926212464815,0.5529100529100529,0.6598752779884975,0.35778427238652555,0.6141988124659518
20260907T124300Z_6ac966eb,WD,ETH,mid,30000,210,0.7865617329830153,0.5714285714285714,0.6598752779884975,0.35778427238652555,0.6141988124659518
20260907T124300Z_6ac966eb,WD,ETH,high,5000,695,0.49703796821609064,0.5496402877697841,0.6598752779884975,0.35778427238652555,0.6141988124659518
20260907T124300Z_6ac966eb,WD,ETH,high,10000,499,0.3615447453297444,0.5410821643286573,0.6598752779884975,0.35778427238652555,0.6141988124659518
20260907T124300Z_6ac966eb,WD,ETH,high,30000,248,0.11386218562343517,0.5,0.6598752779884975,0.35778427238652555,0.6141988124659518
20260907T160215Z_ee5b0782,WD,BTC,low,5000,174,0.23885661702977146,0.3563218390804598,0.49219904310793283,0.3087279229434972,0.5414099931618525
20260907T160215Z_ee5b0782,WD,BTC,low,10000,128,0.21164232440915035,0.4453125,0.49219904310793283,0.3087279229434972,0.5414099931618525
20260907T160215Z_ee5b0782,WD,BTC,low,30000,86,0.4400589407718554,0.47674418604651164,0.49219904310793283,0.3087279229434972,0.5414099931618525
20260907T160215Z_ee5b0782,WD,BTC,mid,5000,182,0.31842621809629,0.4340659340659341,0.49219904310793283,0.3087279229434972,0.5414099931618525
20260907T160215Z_ee5b0782,WD,BTC,mid,10000,145,0.4663609881380898,0.503448275862069,0.49219904310793283,0.3087279229434972,0.5414099931618525
20260907T160215Z_ee5b0782,WD,BTC,mid,30000,101,0.36975103253759306,0.5742574257425742,0.49219904310793283,0.3087279229434972,0.5414099931618525
20260907T160215Z_ee5b0782,WD,BTC,high,5000,250,0.42178468505961764,0.5,0.49219904310793283,0.3087279229434972,0.5414099931618525
20260907T160215Z_ee5b0782,WD,BTC,high,10000,197,0.5733943059052454,0.5736040609137056,0.49219904310793283,0.3087279229434972,0.5414099931618525
20260907T160215Z_ee5b0782,WD,BTC,high,30000,129,0.4139004278503736,0.5658914728682171,0.49219904310793283,0.3087279229434972,0.5414099931618525
20260907T160215Z_ee5b0782,WD,ETH,low,5000,256,0.3170646558474287,0.50390625,0.5976897201005471,0.33930466791777525,0.5830357552449363
20260907T160215Z_ee5b0782,WD,ETH,low,10000,220,0.3441683958618345,0.5954545454545455,0.5976897201005471,0.33930466791777525,0.5830357552449363
20260907T160215Z_ee5b0782,WD,ETH,low,30000,141,0.464899047003844,0.574468085106383,0.5976897201005471,0.33930466791777525,0.5830357552449363
20260907T160215Z_ee5b0782,WD,ETH,mid,5000,287,0.44491394654179706,0.5609756097560976,0.5976897201005471,0.33930466791777525,0.5830357552449363
20260907T160215Z_ee5b0782,WD,ETH,mid,10000,237,0.38841318338590286,0.5569620253164557,0.5976897201005471,0.33930466791777525,0.5830357552449363
20260907T160215Z_ee5b0782,WD,ETH,mid,30000,157,0.6529844962988165,0.5987261146496815,0.5976897201005471,0.33930466791777525,0.5830357552449363
20260907T160215Z_ee5b0782,WD,ETH,high,5000,384,0.4120684618521308,0.5651041666666666,0.5976897201005471,0.33930466791777525,0.5830357552449363
20260907T160215Z_ee5b0782,WD,ETH,high,10000,309,0.5780878765511458,0.6148867313915858,0.5976897201005471,0.33930466791777525,0.5830357552449363
20260907T160215Z_ee5b0782,WD,ETH,high,30000,185,0.7292165526808113,0.5513513513513514,0.5976897201005471,0.33930466791777525,0.5830357552449363
