feature,horizon_ms,blocks,positive_blocks,positive_share,min_block,max_block,N,mean_signed_bps,avg_hit_rate
depth_imbalance_l1,100,8,8,1.0,0.1122906662915353,0.25928753558784084,17763,0.16373362705761843,0.24151325789562575
depth_imbalance_l1,200,8,8,1.0,0.16900944292058276,0.36024926142922525,17763,0.23526774026492994,0.31498057760513426
depth_imbalance_l1,500,8,8,1.0,0.24910873159518704,0.45534389262627745,17763,0.328636794075814,0.41057253842256375
depth_imbalance_l1,1000,8,8,1.0,0.3324218956221404,0.5359773438661155,17761,0.4130747738439407,0.48966837452846124
depth_imbalance_l1,2000,8,8,1.0,0.4577779771788628,0.6221627460994693,12757,0.5136737739080711,0.5825821117817669
depth_imbalance_l1,5000,8,8,1.0,0.5530246286465631,0.7459626923121394,8054,0.6448338218185705,0.6425378693816737
depth_imbalance_l1,10000,8,8,1.0,0.5659750754608833,0.797149964275537,5276,0.6634637286585748,0.6362774829416225
depth_imbalance_l1,30000,8,8,1.0,0.23970555572271016,0.8903687806724152,2350,0.5606351822765313,0.5927659574468085
depth_imbalance_l5,100,8,8,1.0,0.10653586781835306,0.2556088060302825,17806,0.15617510955016353,0.2249803437043693
depth_imbalance_l5,200,8,8,1.0,0.15863705616155827,0.35194353230759984,17806,0.22298579593050902,0.2935527350331349
depth_imbalance_l5,500,8,8,1.0,0.2405291798161427,0.4615391609454858,17805,0.30637663431778184,0.3829261443414771
depth_imbalance_l5,1000,8,8,1.0,0.32465939367123875,0.5439661931522621,17803,0.3856930573030847,0.4624501488513172
depth_imbalance_l5,2000,8,8,1.0,0.4127056725156627,0.6349339655714026,12773,0.4853229865558003,0.5536678932122446
depth_imbalance_l5,5000,8,8,1.0,0.47835048377546535,0.6983041543545283,8021,0.6072634058857926,0.6267298341852637
depth_imbalance_l5,10000,8,8,1.0,0.5315323165193787,0.78565939827466,5288,0.6518513641005323,0.6306732223903178
depth_imbalance_l5,30000,8,8,1.0,0.3807408157609354,1.0121789234793392,2345,0.7276236137522165,0.6051172707889125
external_ofi,100,8,8,1.0,0.10140865536095446,0.26357816649282756,31947,0.15593477657315477,0.21332206466960904
external_ofi,200,8,8,1.0,0.13518116544189152,0.3256986370005394,31947,0.20769023110955362,0.27173130497386294
external_ofi,500,8,8,1.0,0.17824988648278633,0.3750353212521849,31947,0.25925048516659854,0.34306820671737565
external_ofi,1000,8,8,1.0,0.21902432351467024,0.42607780734575607,31943,0.30215732431031306,0.4052844128604076
external_ofi,2000,8,8,1.0,0.2740433688946422,0.4881107811648292,22333,0.34946525603660317,0.4593650651502261
external_ofi,5000,8,8,1.0,0.3423808917574085,0.5260515829201984,12266,0.4105690748961267,0.5295939996738953
external_ofi,10000,8,8,1.0,0.315157839259637,0.6899686982152355,7075,0.4577692551533096,0.5587279151943463
external_ofi,30000,8,8,1.0,0.2756457228712529,0.7811758131859202,2680,0.44371858448446344,0.5615671641791045
fair_gap_reversion,100,8,8,1.0,0.12253248646962137,0.21295648522952054,13593,0.1724059601958961,0.15397631133671744
fair_gap_reversion,200,8,8,1.0,0.15017973915938282,0.2390459678968653,13592,0.2058133147346686,0.1973955267804591
fair_gap_reversion,500,8,8,1.0,0.17925932214534032,0.30350264796899934,13590,0.24712242228287348,0.2739514348785872
fair_gap_reversion,1000,8,8,1.0,0.21482957543654752,0.36416335833822056,13589,0.29916529172789325,0.34873794981234824
fair_gap_reversion,2000,8,8,1.0,0.3223250247085299,0.4658208694553125,9280,0.40315533726225317,0.459375
fair_gap_reversion,5000,8,8,1.0,0.43060733731776724,0.6345532686745183,5913,0.5069457888381519,0.5569085066801962
fair_gap_reversion,10000,8,8,1.0,0.33846798337715606,0.6632281193641022,4090,0.5131435985751173,0.5797066014669927
fair_gap_reversion,30000,8,8,1.0,0.4777354804111098,0.8855876592382779,2032,0.6756517239349551,0.5836614173228346
leader_gap_1000ms,100,8,8,1.0,0.11131246164926055,0.1584962499554457,16855,0.12856827591907294,0.14784930287748443
leader_gap_1000ms,200,8,8,1.0,0.131783908076239,0.18640494844781338,16855,0.15260639899471887,0.19276179175318897
leader_gap_1000ms,500,8,8,1.0,0.15114087309112917,0.20784583609660073,16853,0.18571141192991675,0.27134634783124667
leader_gap_1000ms,1000,8,8,1.0,0.17230345459394358,0.26379663869693093,16852,0.21515444983180537,0.34352005696653215
leader_gap_1000ms,2000,8,8,1.0,0.19640831098172926,0.3252168654252332,12298,0.27821433256715805,0.4301512441047325
leader_gap_1000ms,5000,8,8,1.0,0.2431721615539796,0.4397737265350521,7926,0.3172862758067578,0.5128690386071159
leader_gap_1000ms,10000,8,8,1.0,0.22682653574158568,0.4570264312796005,5255,0.3188367060226095,0.5282588011417697
leader_gap_1000ms,30000,8,8,1.0,0.046680442013715163,0.7363738047228747,2320,0.4263169619865152,0.5362068965517242
leader_gap_500ms,100,8,8,1.0,0.10743107239926022,0.13972964655550732,19130,0.12598450339943365,0.15342394145321483
leader_gap_500ms,200,8,8,1.0,0.12030818922671596,0.16921294581489832,19130,0.1487346452652805,0.19869315211709357
leader_gap_500ms,500,8,8,1.0,0.1414197530194916,0.20245311733748467,19128,0.17398735009977642,0.27619196988707656
leader_gap_500ms,1000,8,8,1.0,0.1567766860758995,0.24129228621136284,19127,0.19998301315089873,0.34584618601976264
leader_gap_500ms,2000,8,8,1.0,0.17108683160704558,0.29828214492433436,14556,0.24220576982063854,0.41481176147293214
leader_gap_500ms,5000,8,8,1.0,0.172200249219099,0.3959717688722124,9127,0.24736797535054014,0.48537306891640186
leader_gap_500ms,10000,8,8,1.0,0.125731580199644,0.46025366373662435,5816,0.26940252372684687,0.5189133425034388
leader_gap_500ms,30000,8,4,0.5,-0.10388038678393442,0.36659967334296445,2444,0.10756114525490264,0.5155482815057283
