session,period,asset,state,horizon_ms,N,mean_signed_bps,hit_rate,threshold,disp_lo,disp_hi
20260907T221751Z_3abdfd02,NEW12,BTC,low,5000,228,0.4156550353053475,0.5219298245614035,0.5374800965145535,0.32957747055944336,0.5709575048017203
20260907T221751Z_3abdfd02,NEW12,BTC,mid,5000,270,0.4817178519765066,0.5814814814814815,0.5374800965145535,0.32957747055944336,0.5709575048017203
20260907T221751Z_3abdfd02,NEW12,BTC,high,5000,351,0.6102578518111458,0.5783475783475783,0.5374800965145535,0.32957747055944336,0.5709575048017203
20260907T221751Z_3abdfd02,NEW12,BTC,low,10000,179,0.5741097797120694,0.6089385474860335,0.5374800965145535,0.32957747055944336,0.5709575048017203
20260907T221751Z_3abdfd02,NEW12,BTC,mid,10000,221,0.5481126278039148,0.6063348416289592,0.5374800965145535,0.32957747055944336,0.5709575048017203
20260907T221751Z_3abdfd02,NEW12,BTC,high,10000,283,0.6812244161032003,0.6219081272084805,0.5374800965145535,0.32957747055944336,0.5709575048017203
20260907T221751Z_3abdfd02,NEW12,BTC,low,30000,136,0.6080907245526719,0.5514705882352942,0.5374800965145535,0.32957747055944336,0.5709575048017203
20260907T221751Z_3abdfd02,NEW12,BTC,mid,30000,160,0.4870216883100936,0.575,0.5374800965145535,0.32957747055944336,0.5709575048017203
20260907T221751Z_3abdfd02,NEW12,BTC,high,30000,176,0.6876765385173337,0.5965909090909091,0.5374800965145535,0.32957747055944336,0.5709575048017203
20260907T221751Z_3abdfd02,NEW12,ETH,low,5000,306,0.43619485624045157,0.5686274509803921,0.6578680075813859,0.34306454517913504,0.5738212940685016
20260907T221751Z_3abdfd02,NEW12,ETH,mid,5000,330,0.35798699946432483,0.5424242424242425,0.6578680075813859,0.34306454517913504,0.5738212940685016
20260907T221751Z_3abdfd02,NEW12,ETH,high,5000,443,0.8434947790139301,0.6139954853273137,0.6578680075813859,0.34306454517913504,0.5738212940685016
