state,horizon_ms,blocks,positive_blocks,positive_share,min_block,max_block,N,mean_signed_bps,avg_hit_rate
high,5000,8,8,1.0,0.4980549075779842,0.8548758701626652,3682,0.6253416691221712,0.5784899511135253
high,10000,8,8,1.0,0.5189971985022672,1.0779432494515266,2815,0.706970153289361,0.6003552397868561
high,30000,8,8,1.0,0.40972297323831386,1.1545368942750192,1615,0.7805912087284179,0.6
low,5000,8,8,1.0,0.1489851605541065,0.5227432379982822,2362,0.39878432157651805,0.5342929720575783
low,10000,8,8,1.0,0.10547162935730339,0.5859389384990379,1922,0.4542740847335464,0.5593132154006244
low,30000,8,7,0.875,-0.03924918694800134,0.9533813467737122,1252,0.4222384830948832,0.5471246006389776
mid,5000,8,8,1.0,0.2924292565772026,0.5062214355451111,2770,0.40852199489699176,0.5425992779783394
mid,10000,8,8,1.0,0.3065556128146555,0.6798082089188754,2201,0.4958084745685029,0.5647432985006815
mid,30000,8,8,1.0,0.19377536547871585,0.8167959417464362,1396,0.5362943389332652,0.5687679083094556
