session_id,created_utc,target_hours,wrapper_elapsed_hours,exit_code,watchdog_triggered,collector_sha256,zip_crc_pass,grid_files,book_files,trade_files,grid_holes,book_holes,trade_holes,parquet_magic_bad_grid,actual_grid_rows,sampler_missed_ticks_total,sampler_lag_events_gt50ms,sampler_lag_median_ms,sampler_lag_max_ms,sampler_lag_explicit_missed,writer_queue_max,writer_errors,writer_queue_final,ws_errors_total,reconnects_total,errors_by_conn,reconnects_by_conn,unknown_side_total,books_received_total,books_stored_total,trades_total,messages_total,local_start_rome,local_end_rome
20260907T221751Z_3abdfd02,2026-09-07T22:17:51.795517+00:00,3.0,3.001752015617159,0,False,e924edc1b8348d9cc8e74a37eaa17e6bbc80116de29d2f7a00cd43444d1265a3,True,360,360,360,0,0,0,0,215998,1,6,57.555472,90.341657,0,7,0,6,0,0,"{'bitget': 0, 'binance_public': 0, 'binance_market': 0, 'okx': 0, 'bybit': 0}","{'bitget': 0, 'binance_public': 0, 'binance_market': 0, 'okx': 0, 'bybit': 0}",0,6992582,1640163,841452,7488794,2026-09-08 00:17:51.795517+02:00,2026-09-08 03:17:51.795517+02:00
20260908T074322Z_1057297f,2026-09-08T07:43:22.819039+00:00,3.0,3.0018130093812943,0,False,e924edc1b8348d9cc8e74a37eaa17e6bbc80116de29d2f7a00cd43444d1265a3,True,360,360,360,0,0,0,0,215996,2,7,57.504785,92.065167,0,7,0,6,2,2,"{'bitget': 0, 'binance_public': 0, 'binance_market': 0, 'okx': 2, 'bybit': 0}","{'bitget': 0, 'binance_public': 0, 'binance_market': 0, 'okx': 2, 'bybit': 0}",0,8978883,2018641,1112723,9643887,2026-09-08 09:43:22.819039+02:00,2026-09-08 12:43:22.819039+02:00
20260908T120838Z_3cfee030,2026-09-08T12:08:38.978726+00:00,3.0,3.0018885354201,0,False,e924edc1b8348d9cc8e74a37eaa17e6bbc80116de29d2f7a00cd43444d1265a3,True,360,360,360,0,0,0,0,215850,75,354,63.5790605,99.944822,12,7,0,6,0,0,"{'bitget': 0, 'binance_public': 0, 'binance_market': 0, 'okx': 0, 'bybit': 0}","{'bitget': 0, 'binance_public': 0, 'binance_market': 0, 'okx': 0, 'bybit': 0}",0,15001033,2953184,2257601,16396807,2026-09-08 14:08:38.978726+02:00,2026-09-08 17:08:38.978726+02:00
20260909T171030Z_1952d031,2026-09-09T17:10:30.551922+00:00,3.0,3.0020814306206174,0,False,e924edc1b8348d9cc8e74a37eaa17e6bbc80116de29d2f7a00cd43444d1265a3,True,360,360,360,0,0,0,0,215888,56,214,64.7366445,99.901979,15,7,0,6,2,2,"{'bitget': 0, 'binance_public': 0, 'binance_market': 0, 'okx': 2, 'bybit': 0}","{'bitget': 0, 'binance_public': 0, 'binance_market': 0, 'okx': 2, 'bybit': 0}",0,7986554,1963029,923441,8544271,2026-09-09 19:10:30.551922+02:00,2026-09-09 22:10:30.551922+02:00
