state,horizon_ms,blocks,positive_blocks,positive_share,min_block,max_block,N,mean_signed_bps,avg_hit_rate
high,5000,22,22,1.0,0.3407253259486618,0.9306762015294688,8715,0.5913112452367766,0.5499713138267355
high,10000,22,22,1.0,0.3615447453297444,1.0779432494515266,6696,0.6752357941707985,0.5836320191158901
high,30000,22,22,1.0,0.1138621856234351,1.6477752474386222,3965,0.7119321483793594,0.5889029003783102
low,5000,22,22,1.0,0.0788736483040809,0.6486084763213686,5462,0.3586917677771559,0.4835225192237276
low,10000,22,22,1.0,0.0919003655560654,0.6762666558827392,4399,0.44618682177945673,0.5348942941577631
low,30000,22,20,0.9090909090909091,-0.1520279726423111,0.9656773720106266,2927,0.49703678003305846,0.5466347796378545
mid,5000,22,22,1.0,0.106495301239894,0.5650414430441711,6505,0.3614219251961194,0.49792467332820906
mid,10000,22,22,1.0,0.1120086420857494,0.7208780792367995,5150,0.45107386405465133,0.5388349514563107
mid,30000,22,21,0.9545454545454546,-0.0507855057895522,1.153296844650925,3309,0.48295009754242435,0.5608945300695074
